title,amount,department,date,city,views,details
No Chalan,"1,000","Traffic Fines, Penalties, Rules","March 15, 2020","Viluppuram, Tamil Nadu",1954,"Dear Sir,       I Purchased A Liquor From Pondy And I Dont Know it Was An Offence. Near By Villupuram Police Has Stopped our Bus And Collected A Fine ..."
Bribe taken by officer in RTO Bhopal,"30,000",Tax and Permits,"March 15, 2020","Bhopal, Madhya Pradesh",1796,I applied for bus permit with legal documents needed and waited for all the formalities like meeting etc but at last bribe is taken by officer in RTO ...
"Even after paying the legal fees for the license, Rs 500 was taken separately.",500,Driving Licenses and Tests,"March 14, 2020","Dungarpur, Rajasthan",1102,"On 12-03-2020, a receipt for Rs 500 was made in the name of an unknown person from me. I had already paid the legal fees for the license under the onl..."
HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT COPRPORATION HSIIDC FARIDABAD,"1,10,000",Land Related,"March 13, 2020","Faridabad, Haryana",2182,Getting approvals form HSIIDC is impossible unless you pay bribe to Vikas Choudhary who is Assistant General Manager(IA) at HSIIDC Faridabad.  I had a...
NO REGISTRY DONE IF YOU DO OT PAY 0.5% OF LAND COST TO HSIIDC OFFICE,"1,10,000",Others,"March 13, 2020","Faridabad, Haryana",1766,"Despite the fact that HSIIDC Haryana has made an online portal for services,however Vikas Choudhary,Estate officer HSIIDC at Faridabad ensures that no..."
Khata Bifurcation Charges,"20,00,000",Encumbrance Certificate,"March 12, 2020","Bangalore, Karnataka",3945,We live a a multistory apartment consisting of 60 houses. The builder took 35000/- per house in cash to get our Khata Bifurcation done .  Builder Name...
I had to pay a bribe,500,Verification and Certificates,"March 12, 2020","Bangalore, Karnataka",1794,I met Mr. Lingaraju from the Madivala Police Station to book an appointment for passport verification. He took my documents and scheduled the time and...
House Blend Coffee Medium Roast at Hardworkingproducts.com,"1,200",Others,"March 9, 2020","Adari, Uttar Pradesh",2072,Get Delicious 100% Arabica Coffee- enjoy a magnificent smooth cup of coffee with our House blend  coffee with full flavor and moderate body. Brewing I...
Driving other state vehicle without paying road tax,500,"Traffic Fines, Penalties, Rules","March 7, 2020","Bangalore, Karnataka",1883,I paid the bribe under kalyan nagar bridge ...
Took money without giving report,500,"Traffic Fines, Penalties, Rules","March 7, 2020","Bangalore, Karnataka",1773,"Took money for pollution check, did not give challan. At nice road junction on Bannerghatta road bangalore..."
Buy Supercharger Overdrive Pulleys at RBinnovations.com,"12,000",Others,"March 5, 2020","Adityapur, Jharkhand",2171,The overdrive pulleys allow you to adjust the amount of boost your RB Innovations nitro supercharger produces and the stock pulley that comes with eve...
Mini RootGuard Heavy Duty Gopher Wire Baskets For Sale,"1,200",Others,"March 5, 2020","New Delhi, Delhi",2013,The one-quart Mini RootGuard Gopher Guard basket (144 pack) is very easy to use and specially designed to protect the roots of small plants and the Mi...
Bribe for legal heir certificate,"7,000",Aadhaar Card Process,"March 3, 2020","Ahmedabad, Gujarat",3168,"Date : 02-03-2020 Time : 16:00 Place : Madalpur Mamlatdaar Office, Madalpur, Paldi, Ahmedabad, Gujarat, India INR : Rs.7000 Bribe given to : Office be..."
Corruption,"5,000",Change of Tariff in Domestic to Commercial,"March 3, 2020","Arcot, Tamil Nadu",3109,"We decided to start a SSI, so we need to get INDUSTRIAL POWER SUPPLY. We paid bill amount 15000 for powersupply and extra amount more than 5000 for of..."
Owner Tenant Issuse,"5,000",FIR and Complaints,"March 2, 2020","Bangalore, Karnataka",1964,"I was attacked by unknown persons hired by my    landlord, when refused to vacate the office , because the landlord did not clear my lease amount of 4..."
"I am running restaurant with all legal certificates, police constable demanding bribe 2000rs month ","2,000",Registrations and Licenses,"March 1, 2020","Arwal, Bihar",1392,"Police constable, area gautam nagar, haridev puri, Yusuf Sarai, new delhi 110049, huaz Khas circle, phone number of consitable  8949957377..."
"Corruption by PSPCL employees in Sardar Nagar, Ludhiana ","1,000",Change of Tariff in Domestic to Commercial,"March 1, 2020","Ludhiana, Punjab",2779,The electricity meter was inside the building and PSPCL employees came to take meter outside the building. After removing meter from inside they black...
Inno-Flex Spare Drive Belts at RBinnovations.com,"1,200",Others,"February 27, 2020","Adilabad, Telangana",1858,Inno-flex belts are a direct replacement for the belts that come with the RBinnovations.com nitro supercharger and the Inno-flex spare drive belts are...
Outdoor Motion Activated Solar 16-LED Security/Nightlight – Hardworkingproducts.com,250,Others,"February 27, 2020","Adari, Uttar Pradesh",2230,"This solar powered motion-activated 16-LED Security / Nightlight at Hard Working Products is a great addition to any parking area, garage entrance, wa..."
Reg Husband mohamed asik given amount to social welfare officer Mrs jayalakshmi,"5,000",,"February 25, 2020","Madurai, Tamil Nadu",1872,Myself Nilofar filed an complained against my husband mohamed asik on the year 2018. And being frank that I have been married already to kamrudeen. Du...
Illegal source of income,"13,00,000",Others,"February 24, 2020","Patna, Bihar",2701,Retired care takre From RBI patna Mr Mahesh Rajak Ashok Nagar Kankarbagh Road No 12B is doing illegal  income approx 13 to 14 lacs during demoniterzat...
Saw traffic police asking 5000 rs to avoid fine,"5,000","Traffic Fines, Penalties, Rules","February 24, 2020","Bangalore, Karnataka",1884,I saw traffic police asking for 5000rs bribe when people are caught in drunk n driving case. When crossing Domlur flyover and goimg towards EGL park m...
Fruits delivery,"12,000",College Leaving Certificate,"February 23, 2020","Sikar, Rajasthan",2944,"Fruits are not distributed in school,from September 2019 to till date in government adarsh senior secondary school, jheegar chhoti, sikar, rajasthan...."
Bribed for visiting kodaikanal,"1,000",Driving and Transport Business,"February 23, 2020","Coimbatore, Tamil Nadu",2240,Date:22-02-202 Time:2:30 Location: Kodaikanal Hill entrance check post Designation:constable  I am on a trip to Kodaikanal with 4 of my colleagues (3 ...
Just for survey ,"10,000",Land Registration,"February 22, 2020","Nellore, Andhra Pradesh",2105,Still.more pending work and have to pay more based on their demand to get work done on time legally. Else our work can be delayed more than a year....
I paid a bribe of 250000 in rera jharkhand whereas the payment was of 10000,"2,50,000",Building Construction Approval,"February 20, 2020","Ranchi, Jharkhand",2575,All corrupt officers are present in rera jharkhand. You have to pay even if your documents are legit. It might sound small amount but for a small apar...
Boarded women's coach in train 64164,"1,000",Traveling without Ticket,"February 20, 2020","Shikohabad, Uttar Pradesh",3132,I was not given any receipts for fine imposed....
Baroda uttar pradesh gramin bank branch Halore raebareli,"1,000",Loans,"February 20, 2020","Rae Bareli, Uttar Pradesh",1750,Prabhat Mishra head cashier in Baroda uttar pradesh gramin bank branch Halore tehsil Maharajganj district Raebareli  Takes bribe on daily bases ...
Bribe for Disabled person to prove,10,Disability Certificate,"February 19, 2020","Koppal, Karnataka",2726,"In Koppal District hospital i saw that 1 of Disabled person came to renew his ID and he was disabled literally, to renew his ID xyz person asked him b..."
"Best, Cheap & Top Hotels in Dharamshala, Chamunda Devi, HP","1,200",Others,"February 19, 2020","New Delhi, Delhi",2077,"Sunita’s Hotel is a best, top, luxury and deluxe hotel in Chamunda Devi near Dharamshala, H.P and is easily approachable with the calmness of scener..."
He take 200 bribe,200,"Traffic Fines, Penalties, Rules","February 18, 2020","Bangalore, Karnataka",1894,He took 200 bribe at rammurthnagar signal at 4 clock he is constable  Name he wear an hockey didn't see it...
Handcrafted/Handmade Stemless Wine & Drinking Glasses,"1,200",Pension Processing,"February 18, 2020","Adari, Uttar Pradesh",2099,Buy/wholesale online the beautiful handcrafted stemless wine glasses from Oaxaca and made from recycled glass while each glass is handcrafted in Mexic...
Passport police verification/Bribe in Coimbatore Sulur police station ,500,Verification and Certificates,"February 15, 2020","Coimbatore, Tamil Nadu",2378,Incident was happened in Coimbatore Sulur police station on 15/02/2020.  First of all I ask to Sulur police station passport verification desk don’t...
Bribe against passport police verification.,"1,000",Police Clearance Certificate,"February 15, 2020","Siliguri, West Bengal",3215,I'm a resident of jalpaigudi and studying college at Darjeeling district. I applied for passport and got clearance from passport sewa kendra siliguri....
Bribe for passport verification /Coimbatore SULUR POLICE STATION ,500,Verification and Certificates,"February 15, 2020","Coimbatore, Tamil Nadu",2451,My name is sathya who applied a passport and got call from police station on 13th feb 2020 Coimbatore sulur police station.  14th feb 2020 got call fr...
Traffic cops hefty bribes,300,"Traffic Fines, Penalties, Rules","February 15, 2020","Bangalore, Karnataka",1772,"Even though i had all the documents, police sitting in the car demanded 300 rs stating that vehicle is from other state. What kind of reason is this?..."
BRIBE FOR BOOK A TATKAL TICKET,5,Entry Tax,"February 14, 2020","Palia Kalan, Uttar Pradesh",3166,Demand extra money for CNF SEAT at reservation counter    Palia kalan railway station  Reservation counter  Tatkal time 11 am  Date 14.02.2020 Ticket ...
Municipality offier,100,Aadhaar Card Process,"February 14, 2020","Salem, Tamil Nadu",2954,"Many poverty people s are dont have money to pay the bribe so them went away from there, the bribe named has (kodi kasu) flag money..."
Powermatic 2+ Plus Electric Cigarette Rolling Machine,"1,200",Others,"February 13, 2020","New Delhi, Delhi",2019,The Powermatic 2+ (II) Plus Automatic Electric Cigarette Rolling Machine is a popular and inexpensive electric cigarette rolling machine and also the ...
Bribe for new car registration ,"9,000",Number Plates and Vehicle Registration,"February 11, 2020","Patna, Bihar",2348,With all the documents i had gone to Patna RTO 4th floor and asked about my new car registration to MUNNA and ASHOK at 4th floor to register my car th...
Traffic rush by police itshelf and they blamed me for red light jump.,500,"Traffic Fines, Penalties, Rules","February 10, 2020","Panchkula, Haryana",1381,It was Sunday I was coming from Solan. Then at housing board(the place from where we took right turn to Chandigarh). There were almost 10 seconds left...
It was just done false with us,"10,000",Policies and Procedures,"February 9, 2020","Buxar, Bihar",1093,Sho of dhanssoi Buxar bihar ...
I paid bribe for Labor Inspector  Circle 44,"20,000",Registrations and Licenses,"February 8, 2020","Bangalore, Karnataka",1809,Labor inspector Chetan Kumar of Circle 44 is demanding huge bribes from Bangalore North construction/Small scale industries threatning of issuing noti...
Caring alcohol from goa,"1,000",False Allegations,"February 7, 2020","Karwar, Karnataka",3415,"Mr Nagaraj chekpost officer of Anmod checkpost, Joida taluk.these officer is not allowing us(7 members returning from goa with 2 bottles liquor per pe..."
Maharastra Traffic Police took bribe at Baner-Pashan link road near veritas ,"2,000","Traffic Fines, Penalties, Rules","February 7, 2020","Pune, Maharashtra",2587,"Date: 6th Feb Thursday Time- 11:30 AM Location: Baner - Pashan Link Rd, opp. Vijay Sales, Baner, Pune, Maharashtra 411045  2 Traffic cops asked for 10..."
